AIX,Linux,"OS_compatibility","SPL root search",Solaris,description,"formula (or field name if not evaluated)","is_evaluated","long_description","main_type","nmon_section","perf_item",sourcetype,unity
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux",false,"lpar_vp_usage_PCT usage of the partition in percentage (calculated based on the virtual CPUs capacity, PowerLinux only)","round((PhysicalCPU/partition_active_processors*100),2)",false,"lpar_vp_usage_PCT usage of the partition in percentage (calculated based on the virtual CPUs capacity, PowerLinux only)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","%"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux",false,"lpar_pool_vp_usage: CPU usage in virtual CPUs of the Pool the partition belongs to (PowerLinux only)","round((system_active_processors-pool_idle_time),3)",false,"lpar_pool_vp_usage: CPU usage in virtual CPUs of the Pool the partition belongs to (PowerLinux only)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data",Nbr
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux",false,"lpar_pool_vp_usage_PCT: CPU percentage usage of the Pool the partition belongs to (PowerLinux only)","round((system_active_processors-pool_idle_time)/system_active_processors*100,2)",false,"lpar_pool_vp_usage_PCT: CPU percentage usage of the Pool the partition belongs to (PowerLinux only)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=POOLS",false,"entitled_pool_capacity","entitled_pool_capacity",true,"Entitled capacity of the Pool that the lpar belongs to","Performance Data",POOLS,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=POOLS",false,"max_pool_capacity","max_pool_capacity",true,"Max capacity of the Pool that the lpar belongs to","Performance Data",POOLS,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=POOLS",false,"pool_busy_time","pool_busy_time",true,"Pool CPU usage in Virtual CPUs","Performance Data",POOLS,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=POOLS",false,"Pool_id","Pool_id",true,"POOL Identifier that the lpar belongs to (the DefaultPool will always have a 0 ID)","Performance Data",POOLS,"CPU USAGE STATISTICS","sourcetype=nmon_data",id
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=POOLS",false,"pool_max_time","pool_max_time",true,"pool_max_time","Performance Data",POOLS,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=POOLS",false,"shcpu_busy_time","shcpu_busy_time",true,"shcpu_busy_time","Performance Data",POOLS,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=POOLS",false,"shcpu_tot_time","shcpu_tot_time",true,"shcpu_tot_time","Performance Data",POOLS,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=POOLS",false,"shcpus_in_sys","shcpus_in_sys",true,"shcpus_in_sys","Performance Data",POOLS,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=NET",true,"Inbound / Outbound trafic per interface",value,false,"inbound (read devices) and outbound (write devices) trafic per interfaces in Kbps","Performance Data",NET,"NETWORK TRAFFIC","sourcetype=nmon_data",Kbps
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=NET",true,"Name of Network Interface",device,false,"Name of the network interfaces, for inbound intrfaces (read devices) and outbound interfaces (write devices)","Performance Data",NET,"NETWORK TRAFFIC","sourcetype=nmon_data",device
