hostname,OStype,"AIX_Machine_SerialNumber","AIX_virtualcpus","AIX_logicalcores","AIX_entitled","AIX_LEVEL","AIX_processor_mode","AIX_processor_clockspeed","AIX_cpu_type","AIX_kernel_type","AIX_plateform_firmware_level","AIX_PoolID","AIX_system_installed_CPUs","AIX_system_active_CPUs","AIX_PoolCPUs","AIX_memory_MB","AIX_pagingspace_MB","Linux_memory_MB","Linux_swap_MB","Linux_distribution","Linux_vendor","Linux_kernelversion","Solaris_version","Solaris_sunOS_version","Solaris_processor_clockspeed","Solaris_physical_memory_MB",Processor,"cpu_cores","nmon_version","uptime_seconds","uptime_duration","system_startup_date","reporting_date",OSversion,"Physical_mem_MB","Virtual_mem_MB"
SPA02F02,AIX,0640D4P,10,40,"2.00","6.1.6.15","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,44,44,8192,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","10 / 40","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",8192,4096
SPA0AH02,AIX,219840V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,1024,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",15469200,"179+01:00:00","01/01/2016 23:00","06/19/2016 00:00","6.1.9.16",1024,8704
SPH0004A,AIX,834B35F,5,10,"0.50","6.1.9.16","POWER 5","2102 MHz","64-bit","64-bit","SF240_358",0,64,30,30,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER5","5 / 10",12e,,,,"06/19/2016 00:00","6.1.9.16",4096,4096
SPH0008B,AIX,833FEFF,5,10,"0.50","6.1.9.16","POWER 5","2102 MHz","64-bit","64-bit","SF240_418",0,64,60,60,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER5","5 / 10",12e,,,,"06/19/2016 00:00","6.1.9.16",4096,4096
SPH0026A,AIX,519F392,1,2,"0.10","6.1.9.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,50,50,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2",12e,,,,"06/19/2016 00:00","6.1.9.16",4096,4096
SPH0031B,AIX,519EDB2,1,2,"0.10","6.1.9.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,50,50,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2",12e,,,,"06/19/2016 00:00","6.1.9.16",4096,4096
SPH0043A,AIX,65905CC,1,2,"0.10","6.1.9.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,58,58,4095,4096,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2",12e,,,,"06/19/2016 00:00","6.1.9.16",4095,4096
SPH0052A,AIX,65638EP,1,4,"0.10","6.1.9.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,56,56,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",5187600,"60+01:00:00","04/30/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,4096
SPH0065A,AIX,06D939P,1,4,"0.60","6.1.9.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,58,58,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",22986000,"266+01:00:00","10/07/2015 00:00","06/19/2016 00:00","6.1.9.16",4096,4096
SPH0067A,AIX,06D939P,1,4,"0.10","6.1.9.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,58,58,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",22986000,"266+01:00:00","10/07/2015 00:00","06/19/2016 00:00","6.1.9.16",4096,4096
SPH0074A,AIX,06FAFDP,1,4,"0.10","6.1.9.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,20,20,4096,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",33008400,"382+01:00:00","06/13/2015 00:00","06/19/2016 00:00","6.1.9.16",4096,4608
SPH0074B,AIX,06FAFDP,1,4,"0.10","6.1.9.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,20,20,4096,4352,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",32317200,"374+01:00:00","06/21/2015 00:00","06/19/2016 00:00","6.1.9.16",4096,4352
SPH0076A,AIX,06FAFCP,1,4,"0.10","6.1.9.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_071",0,64,20,20,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",5187600,"60+01:00:00","04/30/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,4096
SPH0082B,AIX,06E9B1T,2,8,"0.20","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",5101200,"59+01:00:00","05/01/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,4096
SPH0089A,AIX,06E9A6T,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,24,24,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",5187600,"60+01:00:00","04/30/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,4096
SPH0093A,AIX,219840V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",20221200,"234+01:00:00","11/07/2015 23:00","06/19/2016 00:00","6.1.9.16",4096,4096
SPH0101B,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",12272400,"142+01:00:00","02/07/2016 23:00","06/19/2016 00:00","6.1.9.16",4096,4096
SPH0103A,AIX,06E9B1T,1,4,"0.20","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",5101200,"59+01:00:00","05/01/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,4096
SPH1QV01,AIX,101866P,2,8,"0.50","6.1.9.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,39,39,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",3459600,"40+01:00:00","05/20/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,4096
