hostname,OStype,"AIX_Machine_SerialNumber","AIX_virtualcpus","AIX_logicalcores","AIX_entitled","AIX_LEVEL","AIX_processor_mode","AIX_processor_clockspeed","AIX_cpu_type","AIX_kernel_type","AIX_plateform_firmware_level","AIX_PoolID","AIX_system_installed_CPUs","AIX_system_active_CPUs","AIX_PoolCPUs","AIX_memory_MB","AIX_pagingspace_MB","Linux_memory_MB","Linux_swap_MB","Linux_distribution","Linux_vendor","Linux_kernelversion","Solaris_version","Solaris_sunOS_version","Solaris_processor_clockspeed","Solaris_physical_memory_MB",Processor,"cpu_cores","nmon_version","uptime_seconds","uptime_duration","system_startup_date","reporting_date",OSversion,"Physical_mem_MB","Virtual_mem_MB"
SQU01Q44,AIX,84333C6,1,2,"0.10","6.1.5.4","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,35,35,3072,8704,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",3072,8704
SQU0XA02,AIX,83D5E8E,2,4,"0.20","6.1.5.4","POWER 5","2102 MHz","64-bit","64-bit","SF240_417",0,64,31,31,6144,4096,,,,Undeterminated,,,,,,"PowerPC_POWER5","2 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",6144,4096
amrl2103,Linux,,2,"","0.29",,,,,,,0,,175,159,,,31966,4096,"SUSE Linux Enterprise Server 11 (ppc64)","SUSE LINUX","3.0",,,,,"IBM,9119-MHE (arch: ppc64)","2 / 16",16e,,,,"06/25/2016 21:50","SUSE Linux Enterprise Server 11 (ppc64)",31966,4096
gba00505,AIX,0604B07,2,8,"0.20","6.1.6.15","POWER 7","3304 MHz","64-bit","64-bit","AM770_098",0,64,13,13,6144,6144,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",6144,6144
gbaa0534,AIX,0604B07,2,8,"0.20","6.1.6.15","POWER 7","3304 MHz","64-bit","64-bit","AM770_098",0,64,13,13,8192,6144,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",8192,6144
gbaa0536,AIX,0604AF7,4,16,"0.50","6.1.6.15","POWER 7","3304 MHz","64-bit","64-bit","AM770_090",0,64,10,10,8192,6144,,,,Undeterminated,,,,,,"PowerPC_POWER7","4 / 16","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",8192,6144
gbaa0669,AIX,0604B07,2,8,"0.20","6.1.6.15","POWER 7","3304 MHz","64-bit","64-bit","AM770_098",1,64,13,11,32768,6144,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",32768,6144
gpa00511,AIX,65724C4,5,10,"0.80","6.1.9.16","POWER 6","4400 MHz","64-bit","64-bit","EM350_149",2,16,16,4,20480,6144,,,,Undeterminated,,,,,,"PowerPC_POWER6","5 / 10",12e,,,,"06/19/2016 00:00","6.1.9.16",20480,6144
gpa00543,AIX,65724C4,2,4,"0.50","6.1.6.15","POWER 6","4400 MHz","64-bit","64-bit","EM350_149",2,16,16,4,12288,1920,,,,Undeterminated,,,,,,"PowerPC_POWER6","2 / 4",12e,,,,"06/19/2016 00:00","6.1.6.15",12288,1920
gpa00550,AIX,8373484,17,34,"10.00","6.1.8.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,112640,61440,,,,Undeterminated,,,,,,"PowerPC_POWER6","17 / 34",12e,,,,"06/25/2016 00:00","6.1.8.16",112640,61440
gpa00556,AIX,8373484,10,20,"4.00","6.1.8.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,51200,45184,,,,Undeterminated,,,,,,"PowerPC_POWER6","10 / 20",12e,,,,"06/19/2016 00:00","6.1.8.16",51200,45184
gpa00652,AIX,83F9645,10,20,"2.00","6.1.6.15","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,65536,49152,,,,Undeterminated,,,,,,"PowerPC_POWER6","10 / 20",12e,,,,"06/19/2016 00:00","6.1.6.15",65536,49152
gpa00653,AIX,83F9645,10,20,"2.00","6.1.6.15","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,65536,49152,,,,Undeterminated,,,,,,"PowerPC_POWER6","10 / 20",12e,,,,"06/19/2016 00:00","6.1.6.15",65536,49152
gpa00677,AIX,83F9645,4,8,"0.40","6.1.6.15","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,16384,12288,,,,Undeterminated,,,,,,"PowerPC_POWER6","4 / 8",12e,,,,"06/19/2016 00:00","6.1.6.15",16384,12288
gpa00680,AIX,83F9645,2,4,"0.20","6.1.6.15","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,6144,6144,,,,Undeterminated,,,,,,"PowerPC_POWER6","2 / 4",12e,,,,"06/19/2016 00:00","6.1.6.15",6144,6144
gpa00693,AIX,21983DV,5,20,"0.80","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_068",0,64,32,32,8192,6144,,,,Undeterminated,,,,,,"PowerPC_POWER7","5 / 20","TOPAS-NMON",9853200,"114+01:00:00","03/06/2016 23:00","06/19/2016 00:00","6.1.9.16",8192,6144
gpa00695,AIX,06FB02P,2,8,"0.20","6.1.6.15","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,36,36,8192,6144,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",8192,6144
gpa00705,AIX,06FB02P,4,16,"0.70","6.1.6.15","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,36,36,6144,3328,,,,Undeterminated,,,,,,"PowerPC_POWER7","4 / 16","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",6144,3328
gpa00706,AIX,06FB02P,4,16,"0.70","6.1.6.15","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,36,36,6144,3328,,,,Undeterminated,,,,,,"PowerPC_POWER7","4 / 16","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",6144,3328
gpa00737,AIX,21983DV,4,16,"0.50","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_068",0,64,32,32,8192,3328,,,,Undeterminated,,,,,,"PowerPC_POWER7","4 / 16","TOPAS-NMON",9853200,"114+01:00:00","03/06/2016 23:00","06/19/2016 00:00","6.1.9.16",8192,3328
gpa00746,AIX,65041D6,2,4,"0.20","6.1.6.15","POWER 6","4400 MHz","64-bit","64-bit","EM350_149",0,16,16,16,8192,3328,,,,Undeterminated,,,,,,"PowerPC_POWER6","2 / 4",12e,,,,"06/19/2016 00:00","6.1.6.15",8192,3328
gpa00751,AIX,84041E6,2,4,"0.20","6.1.6.15","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,6144,6144,,,,Undeterminated,,,,,,"PowerPC_POWER6","2 / 4",12e,,,,"06/19/2016 00:00","6.1.6.15",6144,6144
gpa00761,AIX,84041E6,2,4,"0.20","6.1.6.15","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,6144,6144,,,,Undeterminated,,,,,,"PowerPC_POWER6","2 / 4",12e,,,,"06/19/2016 00:00","6.1.6.15",6144,6144
gpa00789,AIX,06FB02P,2,8,"0.20","6.1.6.15","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,36,17,6144,3328,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",6144,3328
gpa00819,AIX,65041D6,5,10,"1.00","6.1.7.16","POWER 6","4400 MHz","64-bit","64-bit","EM350_149",2,16,16,4,20480,6144,,,,Undeterminated,,,,,,"PowerPC_POWER6","5 / 10","TOPAS-NMON",4064400,"47+01:00:00","05/13/2016 00:00","06/19/2016 00:00","6.1.7.16",20480,6144
gpa00835,AIX,83F9645,2,4,"0.20","6.1.6.15","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,6144,6144,,,,Undeterminated,,,,,,"PowerPC_POWER6","2 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",6144,6144
gpa03b01,AIX,0604AF7,2,8,"0.40","6.1.6.15","POWER 7","3304 MHz","64-bit","64-bit","AM770_090",0,64,10,10,6144,6144,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",6144,6144
gpa0ya46,AIX,06FB02P,8,32,"3.00","6.1.6.15","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,36,17,55296,10240,,,,Undeterminated,,,,,,"PowerPC_POWER7","8 / 32","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",55296,10240
gpa0ya80,AIX,06FB02P,1,4,"0.10","6.1.6.15","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,36,17,4096,6144,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",4096,6144
gpa0ya81,AIX,06FB00P,1,4,"0.10","6.1.6.15","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,36,11,4096,6144,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",4096,6144
gqa00747,AIX,8373484,3,6,"0.30","6.1.8.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",1,64,64,10,51200,34688,,,,Undeterminated,,,,,,"PowerPC_POWER6","3 / 6",12e,,,,"06/19/2016 00:00","6.1.8.16",51200,34688
gqa00838,AIX,65F4774,1,2,"0.10","6.1.6.15","POWER 6","4400 MHz","64-bit","64-bit","EM350_166",0,16,16,16,3072,1920,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",,,,"06/19/2016 00:05","6.1.6.15",3072,1920
gqa00846,AIX,65F4774,1,2,"0.10","6.1.6.15","POWER 6","4400 MHz","64-bit","64-bit","EM350_166",0,16,16,16,3072,1920,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",,,,"06/19/2016 00:05","6.1.6.15",3072,1920
gqa01102,AIX,65F4774,1,2,"0.10","6.1.6.15","POWER 6","4400 MHz","64-bit","64-bit","EM350_166",0,16,16,16,3072,1920,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",,,,"06/19/2016 00:07","6.1.6.15",3072,1920
"guilhem-UX52VS",Linux,,,"",,,,,,,,,,,,,,9886,4999,"Ubuntu 16.04 LTS",Ubuntu,"4.4",,,,,"GenuineIntel (arch: x86_64)",4,16e,177720,"2+01:22:00","06/26/2016 23:38","06/28/2016 23:38","Ubuntu 16.04 LTS",9886,4999
lnxtest1,Linux,,,"",,,,,,,,,,,,,,2001,128,"Red Hat Enterprise Linux Server release 6.6 (Santiago)",RedHatEnterpriseServer,"2.6",,,,,"IBM/S390 (arch: s390x)",2,16d,893160,"10+08:06:00","06/18/2016 16:54","06/25/2016 16:54","Red Hat Enterprise Linux Server release 6.6 (Santiago)",2001,128
sba03390,AIX,06FB01P,3,12,"0.30","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,20,20,8192,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","3 / 12","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",8192,4608
sbu0b803,AIX,8362892,1,2,"0.10","5.3.0.69",,"2102 MHz","64-bit","64-bit","SF240_417",0,64,8,8,5632,3072,,,,Undeterminated,,,,,,"PowerPC_POWER5","1 / 2",v11e,,,,"06/19/2016 00:00","5.3.0.69",5632,3072
sma0qtf0,AIX,214FF8V,2,8,"0.10","7.1.3.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,56,56,16384,9472,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",12272400,"142+01:00:00","02/07/2016 23:00","06/19/2016 00:00","7.1.3.16",16384,9472
spa0gf01,AIX,06FAFCP,1,4,"0.10","6.1.6.15","POWER 7","3108 MHz","64-bit","64-bit","AM780_071",1,64,20,12,6144,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",6144,4608
spu03d07,AIX,101866P,10,40,"1.00","7.1.3.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,39,39,30720,7680,,,,Undeterminated,,,,,,"PowerPC_POWER7","10 / 40","TOPAS-NMON",8989200,"104+01:00:00","03/16/2016 23:00","06/19/2016 00:00","7.1.3.16",30720,7680
spu03d09,AIX,101866P,10,40,"1.00","7.1.3.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,39,39,40960,7680,,,,Undeterminated,,,,,,"PowerPC_POWER7","10 / 40","TOPAS-NMON",8989200,"104+01:00:00","03/16/2016 23:00","06/19/2016 00:00","7.1.3.16",40960,7680
spu0qs32,AIX,0631F87,2,8,"2.00","6.1.7.2","POWER 7","3304 MHz","64-bit","64-bit","AM770_109","N/A",64,31,"N/A",46080,15360,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",58237200,"674+01:00:00","08/25/2014 00:00","06/19/2016 00:00","6.1.7.2",46080,15360
spu0qv01,AIX,0640D4P,10,40,"1.30","7.1.3.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,44,44,40960,7680,,,,Undeterminated,,,,,,"PowerPC_POWER7","10 / 40","TOPAS-NMON",10544400,"122+01:00:00","02/27/2016 23:00","06/19/2016 00:00","7.1.3.16",40960,7680
spu0qv15,AIX,101866P,10,40,"1.00","7.1.3.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,39,39,20480,7680,,,,Undeterminated,,,,,,"PowerPC_POWER7","10 / 40","TOPAS-NMON",8989200,"104+01:00:00","03/16/2016 23:00","06/19/2016 00:00","7.1.3.16",20480,7680
sqa05f02,AIX,21C0D6V,1,4,"0.10","7.1.3.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",1,64,22,10,8192,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",5878800,"68+01:00:00","04/22/2016 00:00","06/19/2016 00:00","7.1.3.16",8192,4096
sqa0rz01,AIX,84333C6,1,2,"0.10","6.1.5.4","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",2,64,35,12,2048,4608,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",2048,4608
