"index","sourcetype","main_type","perf_item","nmon_section","unity","description","long_description","formula (or field name if not evaluated)","is_evaluated","OS_compatibility","AIX","Linux","Solaris","SPL root search"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","Viirtual Processors (VP)","POOL VP Usage","Global CPU usage of the Pool that the lpar belongs to","Pool_usage=round((poolCPUs-PoolIdle),2)","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","%","POOL % VP usage","Global CPU usage in percentage of the Pool that the lpar belongs to","Pool_PCT_usage=round(((poolCPUs-PoolIdle)*100/poolCPUs),2)","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","id","POOL ID","POOL Identifier that the lpar belongs to (the DefaultPool will always have a 0 ID)","Pool_id","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","Viirtual Processors (VP)","POOL Virtual CPUs (VP)","Number of Virtual Processor affected to the Pool the lpar belongs to","poolCPUs","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","Viirtual Processors (VP)","POOL VP free","Number of Free Virtual Processor in the Pool the lpar belongs to (can be used as filter to exclude lpars with no access to Pool monitoring)","PoolIdle","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","Nbr","lpar_entitled_capacity: Entitled capacity of the partition (PowerLinux only)","lpar_entitled_capacity: Entitled capacity of the partition (PowerLinux only)","partition_entitled_capacity","false","Linux","false","true","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","Nbr","lpar_vp_capacity: Number of virtual processors in the LPAR definition (PowerLinux only)","lpar_vp_capacity: Number of virtual processors in the LPAR definition (PowerLinux only)","partition_active_processors","false","Linux","false","true","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","Nbr","lpar_vp_usage: CPU usage of the partition in Virtual CPUs (PowerLinux only)","lpar_vp_usage: CPU usage of the partition in Virtual CPUs (PowerLinux only)","round(PhysicalCPU,3)","false","Linux","false","true","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","%","lpar_vp_usage_PCT usage of the partition in percentage (calculated based on the virtual CPUs capacity, PowerLinux only)","lpar_vp_usage_PCT usage of the partition in percentage (calculated based on the virtual CPUs capacity, PowerLinux only)","round((PhysicalCPU/partition_active_processors*100),2)","false","Linux","false","true","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux"
,,,,,,,,,,,,,,
